quarter_end,label,Data Center,Gaming,Professional Visualization,Automotive,OEM and Other,Total revenue,Data Center_share,Gaming_share,Professional Visualization_share,Automotive_share,OEM and Other_share,qoq_total_pct,yoy_total_pct,source_type,source_url
2023-04-30,2023-04,4284.0,2240.0,295.0,296.0,77.0,7192.0,59.566184649610676,31.145717463848722,4.101779755283649,4.115684093437152,1.0706340378197998,,,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000093/nvda-20230430.htm
2023-07-30,2023-07,10323.0,2486.0,379.0,253.0,66.0,13507.0,76.42703783223513,18.405271340786257,2.8059524690901014,1.8731028355667434,0.48863552232175905,87.8058954393771,,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000175/nvda-20230730.htm
2023-10-29,2023-10,14514.0,2856.0,416.0,261.0,73.0,18120.0,80.09933774834437,15.761589403973511,2.295805739514349,1.4403973509933774,0.40286975717439294,34.15266158288295,,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000227/nvda-20231029.htm
2024-01-28,2024-01,18404.0,2865.0,463.0,281.0,90.0,22103.0,83.26471519703207,12.96204135185269,2.0947382708229654,1.2713206352078903,0.4071845450843776,21.981236203090514,,10-K annual less Q3 YTD 10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm
2024-04-28,2024-04,22563.0,2647.0,427.0,329.0,78.0,26044.0,86.63415757948087,10.163569344186762,1.639533097834434,1.2632468130855474,0.299493165412379,17.830158801972583,262.1245828698554,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000124/nvda-20240428.htm
2024-07-28,2024-07,26272.0,2880.0,454.0,346.0,88.0,30040.0,87.45672436750999,9.587217043941411,1.511318242343542,1.151797603195739,0.2929427430093209,15.343265243434189,122.40319834160064,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000264/nvda-20240728.htm
2024-10-27,2024-10,30771.0,3279.0,486.0,449.0,97.0,35082.0,87.71164699846075,9.346673507781768,1.3853258081067215,1.2798586169545636,0.27649506869619744,16.784287616511318,93.60927152317882,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000316/nvda-20241027.htm
2025-01-26,2025-01,35580.0,2544.0,511.0,570.0,126.0,39331.0,90.46299356741501,6.468180315781445,1.2992296153161629,1.4492385141491444,0.32035798733823195,12.111624194743742,77.9441704745962,10-K annual less Q3 YTD 10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
2025-04-27,2025-04,39112.0,3763.0,509.0,567.0,111.0,44062.0,88.76582996686487,8.54023875448232,1.1551904135082385,1.2868231128863874,0.25191775225818164,12.028679667437903,69.18292121025955,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000116/nvda-20250427.htm
2025-07-27,2025-07,41096.0,4287.0,601.0,586.0,173.0,46743.0,87.91904670218,9.171426737693345,1.2857540166442034,1.2536636501722183,0.3701088933102283,6.084608052289964,55.60252996005326,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000209/nvda-20250727.htm
2025-10-26,2025-10,51215.0,4265.0,760.0,592.0,174.0,57006.0,89.84142020138232,7.48166859628811,1.3331929972283618,1.0384871767884083,0.3052310283128092,21.95622874013221,62.49358645459211,10-Q current quarter,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000230/nvda-20251026.htm
2026-01-25,2026-01,62314.0,3727.0,1321.0,604.0,161.0,68127.0,91.46740646146169,5.470665081392106,1.9390256432838668,0.8865794765658255,0.23632333729651975,19.50847279233765,73.21451272533118,10-K annual less Q3 YTD 10-Q,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm
